Product_ID,Product_Name,Brand,Category,Price,Rating,Reviews,Sales_INR,Skin_Type,Ingredient_Type,Launch_Year,Country
1,Revive Classic Eau de Cologne 250ml,Blue Heaven,Fragrance,3596.73,3.0,15166,238468,Normal,Hyaluronic Acid,2022,India
2,Pure Travel Beauty Sponge 200ml,Nykaa,Tools,2060.78,3.2,24873,278189,Sensitive,Turmeric,2023,India
3,Radiant HD Matte Lipstick 120 ml,Swiss Beauty,Makeup,611.32,3.3,24187,424495,All Skin Types,Niacinamide,2018,India
4,Fresh Hair Repair Mask 100ml,Arata,Haircare,676.51,4.9,20978,261231,Dry,Neem,2018,India
5,Pro Eyeshadow Kit 30g,Swiss Beauty,Makeup,2257.13,4.1,5353,90259,All Skin Types,Tea Tree,2020,India
6,Fresh Liquid Concealer 30 pcs,Swiss Beauty,Makeup,1008.53,3.9,27239,290320,Sensitive,Neem,2019,India
7,Radiant Glossy Lip Oil Caramel 15g,Bella Vita,Makeup,2154.46,3.2,71207,725832,All Skin Types,Hyaluronic Acid,2020,India
8,Bright Delicate Facial Cleanser 200ml,Forest Essentials,Skincare,762.52,3.0,9405,123963,Oily,Turmeric,2020,India
9,Classic Vitamin C Serum 15g,Mamaearth,Skincare,2749.96,4.5,42212,704490,Normal,Aloe Vera,2020,India
10,Matte Luxury Collection Body Mist 15g,Bella Vita,Fragrance,4107.2,3.7,17597,258142,Normal,Shea Butter,2021,India
11,Hydra Ayurvedic Body Spray 15g,Kama Ayurveda,Fragrance,3543.64,3.1,8795,87403,Combination,Keratin,2021,India
12,Fresh Cheek Tint Mocha 100ml,Bella Vita,Makeup,1401.51,4.2,72831,1213986,Sensitive,Saffron,2023,India
13,Pure Onion Black Seed Hair Oil 30 pcs,WOW Skin Science,Haircare,191.99,4.9,283,14555,Sensitive,Keratin,2024,India
14,Glow Bio Papaya Revitalizing Tan Removal Scrub 200ml,Biotique,Skincare,3747.84,3.8,67316,1170036,Dry,Shea Butter,2019,India
15,Radiant Aloe Vera Hydrating Mist 30 pcs,Forest Essentials,Skincare,1980.84,3.8,113690,802251,Normal,Charcoal,2019,India
16,Soft Ubtan Face Wash 30 pcs,Mamaearth,Skincare,3817.67,3.7,55081,775410,All Skin Types,Ceramides,2022,India
17,Revive Keratin Hair Mask 100ml,WOW Skin Science,Haircare,709.24,3.1,52343,238919,Sensitive,Amla,2020,India
